"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Vermont"	"50"	"2020"	"2020"	190	623347	30.480615131	32.881026288	0.056571864%
	"Vermont"	"50"	"2021 "	"2021"	252	645570	39.035271156	42.330705192	0.075032157%
	"Virginia"	"51"	"2018"	"2018"	1448	8517685	16.999924275	17.124794217	0.431137154%
	"Virginia"	"51"	"2019"	"2019"	1545	8535519	18.100832533	18.265208677	0.460018579%
	"Virginia"	"51"	"2020"	"2020"	2239	8590563	26.063483848	26.547353842	0.666654757%
	"Virginia"	"51"	"2021 "	"2021"	2625	8642274	30.373950190	30.441207198	0.781584965%
	"Washington"	"53"	"2018"	"2018"	1164	7535591	15.446698209	14.771094293	0.346577104%
	"Washington"	"53"	"2019"	"2019"	1257	7614893	16.507126233	15.817023250	0.374267543%
	"Washington"	"53"	"2020"	"2020"	1729	7693612	22.473189446	21.998730970	0.514803964%
	"Washington"	"53"	"2021 "	"2021"	2263	7738692	29.242667882	28.117690309	0.673800676%
	"West Virginia"	"54"	"2018"	"2018"	855	1805832	47.346597026	51.429259576	0.254573389%
	"West Virginia"	"54"	"2019"	"2019"	869	1792147	48.489325931	52.779238371	0.258741842%
	"West Virginia"	"54"	"2020"	"2020"	1330	1784787	74.518696069	81.398985419	0.396003049%
	"West Virginia"	"54"	"2021 "	"2021"	1500	1782959	84.129808930	90.836532254	0.446619980%
	"Wisconsin"	"55"	"2018"	"2018"	1075	5813568	18.491226042	19.129870798	0.320077652%
	"Wisconsin"	"55"	"2019"	"2019"	1200	5822434	20.609937356	21.126209978	0.357295984%
	"Wisconsin"	"55"	"2020"	"2020"	1530	5832655	26.231621791	27.667957739	0.455552380%
	"Wisconsin"	"55"	"2021 "	"2021"	1772	5895908	30.054743052	31.511939447	0.527607070%
	"Wyoming"	"56"	"2018"	"2018"	66	577737	11.423883186	11.093566850	0.019651279%
	"Wyoming"	"56"	"2019"	"2019"	79	578759	13.649895725	14.113182736	0.023521986%
	"Wyoming"	"56"	"2020"	"2020"	99	582328	17.000728112	17.381091180	0.029476919%
	"Wyoming"	"56"	"2021 "	"2021"	109	578803	18.831968735	18.910101383	0.032454385%
"---"
"Dataset: Multiple Cause of Death, 2018-2021, Single Race"
"Query Parameters:"
"UCD - Drug/Alcohol Induced Causes: Drug poisonings (overdose) Unintentional (X40-X44); Drug poisonings (overdose) Suicide"
"(X60-X64); Drug poisonings (overdose) Undetermined (Y10-Y14)"
"Group By: State; Year"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-expanded.html for more information."
"---"
"Query Date: Aug 6, 2023 9:37:58 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2023. Data are from the Multiple Cause of Death Files,"
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10-expanded.html on Aug 6, 2023 9:37:58 PM"
"---"
Caveats:
"1. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#2000 Standard Population."
"2. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Age-Adjusted Rates."
"3. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"4. The population figures for year 2021 are single-race estimates of the July 1 resident population, from the Vintage 2021"
"postcensal series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates"
"of the July 1 resident population, from the Vintage 2020 postcensal series released by the Census Bureau on July 27, 2021. The"
"population figures for year 2019 are single-race estimates of the July 1 resident population, from the Vintage 2019 postcensal"
"series released by the Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the"
"July 1 resident population, from the Vintage 2018 postcensal series released by the Census Bureau on June 20, 2019."
"5. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Age"
"Group."
