"Notes"	"Residence State"	"Residence State Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Arkansas"	"05"	"Sep., 2018"	"2018/09"	25	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2018"	"2018/10"	25	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2018"	"2018/11"	23	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2018"	"2018/12"	25	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2019"	"2019/01"	38	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2019"	"2019/02"	25	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2019"	"2019/03"	26	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2019"	"2019/04"	26	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2019"	"2019/05"	31	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2019"	"2019/06"	21	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2019"	"2019/07"	30	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2019"	"2019/08"	23	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2019"	"2019/09"	25	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2019"	"2019/10"	26	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2019"	"2019/11"	26	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2019"	"2019/12"	22	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2020"	"2020/01"	43	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2020"	"2020/02"	30	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2020"	"2020/03"	39	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2020"	"2020/04"	42	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2020"	"2020/05"	42	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2020"	"2020/06"	44	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2020"	"2020/07"	43	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2020"	"2020/08"	33	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2020"	"2020/09"	34	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2020"	"2020/10"	33	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2020"	"2020/11"	38	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2020"	"2020/12"	35	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2021"	"2021/01"	42	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2021"	"2021/02"	42	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Mar., 2021"	"2021/03"	55	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Apr., 2021"	"2021/04"	45	Not Applicable	Not Applicable
	"Arkansas"	"05"	"May, 2021"	"2021/05"	56	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jun., 2021"	"2021/06"	49	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jul., 2021"	"2021/07"	38	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Aug., 2021"	"2021/08"	51	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Sep., 2021"	"2021/09"	42	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Oct., 2021"	"2021/10"	42	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Nov., 2021"	"2021/11"	47	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Dec., 2021"	"2021/12"	50	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Jan., 2022 (provisional)"	"2022/01"	47	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Feb., 2022 (provisional)"	"2022/02"	48	Not Applicable	Not Applicable
