ST,Year,half,fentanyl_and_related_substances_seizure_count,carfentanil_seizure_count
MT,2001,2,0,0
MT,2002,1,0,0
MT,2002,2,0,0
MT,2003,1,0,0
MT,2003,2,0,0
MT,2004,1,0,0
MT,2004,2,0,0
MT,2005,1,0,0
MT,2005,2,1,0
MT,2006,1,1,0
MT,2006,2,1,0
MT,2007,1,0,0
MT,2007,2,0,0
MT,2008,1,0,0
MT,2008,2,2,0
MT,2009,1,2,0
MT,2009,2,4,0
MT,2010,1,1,0
MT,2010,2,4,0
MT,2011,1,1,0
MT,2011,2,5,0
MT,2012,1,3,0
MT,2012,2,1,0
MT,2013,1,4,0
MT,2013,2,1,0
MT,2014,1,7,0
MT,2014,2,2,0
MT,2015,1,4,0
MT,2015,2,7,0
MT,2016,1,9,0
MT,2016,2,2,0
MT,2017,1,14,1
MT,2017,2,18,3
MT,2018,1,10,0
MT,2018,2,13,0
MT,2019,1,14,0
MT,2019,2,17,0
MT,2020,1,11,0
MT,2020,2,37,0
MT,2021,1,105,0
MT,2021,2,210,0
MT,2022,1,509,0
MT,2022,2,605,0
NC,1998,1,0,0
NC,1998,2,0,0
NC,1999,1,0,0
NC,1999,2,0,0
NC,2000,1,0,0
NC,2000,2,0,0
NC,2001,1,0,0
NC,2001,2,0,0
NC,2002,1,2,0
NC,2002,2,0,0
NC,2003,1,6,0
NC,2003,2,5,0
NC,2004,1,3,0
NC,2004,2,7,0
NC,2005,1,6,0
NC,2005,2,3,0
NC,2006,1,4,0
NC,2006,2,2,0
NC,2007,1,8,0
NC,2007,2,0,0
NC,2008,1,0,0
NC,2008,2,0,0
NC,2009,1,0,0
NC,2009,2,4,0
NC,2010,1,11,0
NC,2010,2,7,0
NC,2011,1,3,0
NC,2011,2,10,0
NC,2012,1,5,0
NC,2012,2,4,0
NC,2013,1,6,0
NC,2013,2,6,0
NC,2014,1,14,0
NC,2014,2,19,0
NC,2015,1,22,0
NC,2015,2,21,0
NC,2016,1,53,0
NC,2016,2,81,0
NC,2017,1,233,0
NC,2017,2,332,1
NC,2018,1,871,0
NC,2018,2,718,0
NC,2019,1,877,2
NC,2019,2,1427,14
NC,2020,1,2223,18
NC,2020,2,2690,8
NC,2021,1,2671,2
NC,2021,2,2076,0
NC,2022,1,2835,0
NC,2022,2,2590,0
ND,1998,1,0,0
ND,1998,2,0,0
ND,1999,1,0,0
ND,1999,2,0,0
ND,2000,1,0,0
ND,2000,2,0,0
ND,2001,1,0,0
ND,2001,2,0,0
ND,2002,1,0,0
ND,2002,2,0,0
ND,2003,1,0,0
ND,2003,2,0,0
ND,2004,1,0,0
ND,2004,2,0,0
ND,2005,1,0,0
ND,2005,2,0,0
ND,2006,1,0,0
ND,2006,2,0,0
ND,2007,1,0,0
ND,2007,2,0,0
ND,2008,1,1,0
ND,2008,2,2,0
ND,2009,1,2,0
ND,2009,2,0,0
ND,2010,1,0,0
ND,2010,2,1,0
ND,2011,1,1,0
ND,2011,2,4,0
ND,2012,1,1,0
ND,2012,2,7,0
ND,2013,1,5,0
ND,2013,2,5,0
ND,2014,1,3,0
ND,2014,2,3,0
ND,2015,1,22,0
ND,2015,2,5,0
ND,2016,1,81,0
ND,2016,2,38,4
ND,2017,1,68,10
ND,2017,2,50,0
ND,2018,1,37,1
ND,2018,2,64,0
ND,2019,1,52,0
ND,2019,2,223,1
ND,2020,1,132,1
ND,2020,2,220,0
ND,2021,1,196,0
ND,2021,2,239,0
ND,2022,1,323,0
ND,2022,2,298,0
NE,1998,1,0,0
NE,1998,2,0,0
NE,1999,1,0,0
NE,1999,2,0,0
NE,2000,1,0,0
NE,2000,2,0,0
NE,2001,1,0,0
NE,2001,2,0,0
NE,2002,1,0,0
NE,2002,2,0,0
NE,2003,1,0,0
NE,2003,2,0,0
NE,2004,1,0,0
NE,2004,2,0,0
NE,2005,1,0,0
NE,2005,2,0,0
NE,2006,1,0,0
NE,2006,2,4,0
NE,2007,1,1,0
NE,2007,2,0,0
NE,2008,1,0,0
NE,2008,2,1,0
NE,2009,1,5,0
NE,2009,2,3,0
NE,2010,1,5,0
NE,2010,2,5,0
NE,2011,1,2,0
NE,2011,2,4,0
NE,2012,1,2,0
NE,2012,2,5,0
NE,2013,1,1,0
NE,2013,2,5,0
NE,2014,1,1,0
NE,2014,2,1,0
NE,2015,1,3,0
NE,2015,2,1,0
NE,2016,1,4,0
NE,2016,2,6,0
NE,2017,1,7,0
NE,2017,2,10,3
NE,2018,1,26,1
NE,2018,2,25,0
NE,2019,1,11,0
NE,2019,2,18,0
NE,2020,1,52,0
NE,2020,2,76,0
NE,2021,1,122,0
NE,2021,2,184,0
NE,2022,1,301,0
NE,2022,2,223,0
NH,1998,1,0,0
NH,1998,2,0,0
NH,1999,1,0,0
NH,1999,2,0,0
NH,2000,1,0,0
NH,2000,2,0,0
NH,2001,1,0,0
NH,2001,2,0,0
NH,2002,1,0,0
NH,2002,2,0,0
NH,2003,1,0,0
NH,2003,2,0,0
NH,2004,1,0,0
NH,2004,2,0,0
NH,2005,1,0,0
NH,2005,2,0,0
NH,2006,1,0,0
NH,2006,2,0,0
NH,2007,1,0,0
NH,2007,2,0,0
NH,2008,1,0,0
NH,2008,2,0,0
NH,2009,1,0,0
NH,2009,2,0,0
NH,2010,1,0,0
NH,2010,2,1,0
NH,2011,1,0,0
NH,2011,2,2,0
NH,2012,1,7,0
NH,2012,2,2,0
NH,2013,1,5,0
NH,2013,2,11,0
NH,2014,1,74,0
NH,2014,2,153,0
NH,2015,1,584,0
NH,2015,2,812,0
NH,2016,1,956,0
NH,2016,2,835,0
NH,2017,1,1144,51
NH,2017,2,1082,6
NH,2018,1,1039,0
NH,2018,2,1082,0
NH,2019,1,1028,0
NH,2019,2,815,1
NH,2020,1,699,1
NH,2020,2,889,1
NH,2021,1,1209,0
NH,2021,2,1236,0
NH,2022,1,1120,0
NH,2022,2,985,0
NJ,1998,1,0,0
NJ,1998,2,0,0
NJ,1999,1,0,0
NJ,1999,2,0,0
NJ,2000,1,0,0
NJ,2000,2,0,0
NJ,2001,1,0,0
NJ,2001,2,0,0
NJ,2002,1,1,0
NJ,2002,2,0,0
NJ,2003,1,0,0
NJ,2003,2,4,0
NJ,2004,1,4,0
NJ,2004,2,7,0
NJ,2005,1,2,0
NJ,2005,2,8,0
NJ,2006,1,88,0
NJ,2006,2,166,0
NJ,2007,1,19,0
NJ,2007,2,8,0
NJ,2008,1,6,0
NJ,2008,2,10,0
NJ,2009,1,9,0
NJ,2009,2,8,0
NJ,2010,1,4,0
NJ,2010,2,4,0
NJ,2011,1,2,0
NJ,2011,2,5,0
NJ,2012,1,3,0
NJ,2012,2,7,0
NJ,2013,1,4,0
NJ,2013,2,11,0
NJ,2014,1,182,0
NJ,2014,2,95,0
NJ,2015,1,390,0
NJ,2015,2,816,0
NJ,2016,1,1135,0
NJ,2016,2,1878,0
NJ,2017,1,3212,2
NJ,2017,2,3804,0
NJ,2018,1,4934,1
NJ,2018,2,5899,2
NJ,2019,1,7354,0
NJ,2019,2,7571,0
NJ,2020,1,5926,0
NJ,2020,2,7756,0
NJ,2021,1,7959,0
NJ,2021,2,9151,0
NJ,2022,1,10414,1
NJ,2022,2,8507,1
NM,1998,1,0,0
NM,1998,2,0,0
NM,1999,1,0,0
NM,1999,2,1,0
NM,2000,1,0,0
NM,2000,2,0,0
NM,2001,1,0,0
NM,2001,2,0,0
NM,2002,1,0,0
NM,2002,2,1,0
NM,2003,1,0,0
NM,2003,2,0,0
NM,2004,1,0,0
NM,2004,2,0,0
NM,2005,1,1,0
NM,2005,2,3,0
NM,2006,1,0,0
NM,2006,2,0,0
NM,2007,1,0,0
NM,2007,2,1,0
NM,2008,1,0,0
NM,2008,2,0,0
NM,2009,1,3,0
NM,2009,2,1,0
NM,2010,1,1,0
NM,2010,2,0,0
NM,2011,1,2,0
NM,2011,2,0,0
NM,2012,1,4,0
NM,2012,2,0,0
NM,2013,1,0,0
NM,2013,2,0,0
NM,2014,1,2,0
